,dms_id,protein_name,uniprot_id,dms_name,offset,protein_properties,dms_assay,Ascan_id,ascan_assay,dmsa_id,assumed_compatibility,reason,note,n_ala,ala_score_correlation,regularized_correlation
0,urn:mavedb:00000069-a-1,ACE2,Q9BYF1,ACE2-s-high,0,Enzyme on cell surface. Also a receptor of SARS-CoV-1&2.,Functioning ACE2 binds to GFP tagged SARS-CoV2 RBD. Cells are sorted by FACS with high binding affinity relative to cell surface expression.,ace2_han_20,Functioning ACE2 facilitates the infection of pseudovirus with certain protein expression and infectious time.,urn:mavedb:00000069-a-1@ace2_han_20,High,Assays select on similar specific protein property.,,14,0.2618263410549319,0.22691616224760766
1,urn:mavedb:00000069-a-1,ACE2,Q9BYF1,ACE2-s-high,0,Enzyme on cell surface. Also a receptor of SARS-CoV-1&2.,Functioning ACE2 binds to GFP tagged SARS-CoV2 RBD. Cells are sorted by FACS with high binding affinity relative to cell surface expression.,ace2_han_40_plasmid,Functioning ACE2 facilitates the infection of pseudovirus with certain protein expression and infectious time.,urn:mavedb:00000069-a-1@ace2_han_40_plasmid,High,Assays select on similar specific protein property.,,14,0.25550722774441975,0.22143959737849714
2,urn:mavedb:00000069-a-1,ACE2,Q9BYF1,ACE2-s-high,0,Enzyme on cell surface. Also a receptor of SARS-CoV-1&2.,Functioning ACE2 binds to GFP tagged SARS-CoV2 RBD. Cells are sorted by FACS with high binding affinity relative to cell surface expression.,ace2_han_60,Functioning ACE2 facilitates the infection of pseudovirus with certain protein expression and infectious time.,urn:mavedb:00000069-a-1@ace2_han_60,Low,AS assay does not fulfill the experimental demand according to the paper,"According to the paper, this result is disappointing",14,0.15181527338479242,0.13157323693348677
3,urn:mavedb:00000069-a-1,ACE2,Q9BYF1,ACE2-s-high,0,Enzyme on cell surface. Also a receptor of SARS-CoV-1&2.,Functioning ACE2 binds to GFP tagged SARS-CoV2 RBD. Cells are sorted by FACS with high binding affinity relative to cell surface expression.,ace2_han_60_plasmid,Functioning ACE2 facilitates the infection of pseudovirus with certain protein expression and infectious time.,urn:mavedb:00000069-a-1@ace2_han_60_plasmid,High,Assays select on similar specific protein property.,,14,0.059340659340659345,0.051428571428571435
4,urn:mavedb:00000069-a-1,ACE2,Q9BYF1,ACE2-s-high,0,Enzyme on cell surface. Also a receptor of SARS-CoV-1&2.,Functioning ACE2 binds to GFP tagged SARS-CoV2 RBD. Cells are sorted by FACS with high binding affinity relative to cell surface expression.,ace2_li_bind,Functioning ACE2 binds to Fc linked SARS-CoV S protein and percipitated with beads. The values are normalized by ACE2 expression level.,urn:mavedb:00000069-a-1@ace2_li_bind,High,Assays select on similar specific protein property.,,11,0.690909090909091,0.5757575757575759
5,urn:mavedb:00000106-c-1,AICDA,Q9GZX7,AICDA-G3,0,Deaminase that will cause nucleotide substitution in DNA sequence.,Repairing system of bacterial cells is imparied. Functioning AICDA will cause nucleotide mutations by its deaminase activity. Mutated cells can growth under drug environment.,aicda_gajula_deamine,Purified proteins are reacted with ssDNA substrate by its deaminase activity which is quantified on gel.,urn:mavedb:00000106-c-1@aicda_gajula_deamine,High,Assays select on similar specific protein property.,,10,0.7454545454545454,0.6099173553719008
6,urn:mavedb:00000106-c-1,AICDA,Q9GZX7,AICDA-G3,0,Deaminase that will cause nucleotide substitution in DNA sequence.,Repairing system of bacterial cells is imparied. Functioning AICDA will cause nucleotide mutations by its deaminase activity. Mutated cells can growth under drug environment.,aicda_gajula_growth,Repairing system of bacterial cells is imparied. Functioning AICDA will cause nucleotide mutations by its deaminase activity. Mutated cells can grow under drug environment. Result is scored by cell counts.,urn:mavedb:00000106-c-1@aicda_gajula_growth,High,Assays select on similar specific protein property.,,10,0.5272727272727272,0.4314049586776859
7,urn:mavedb:00000058-a-1,Abeta42,P05067,Abeta42,670,A type of prion that will aggregate and cause Alzheimer.,It is fixed with DHFR which is essential for yeast growth. Aggerated mutants will hinder DHFR function and stop cells growth which will be low scored.,ab40_ddg,The equilibrium concentration of amyloid beta monomer is determined by HPLC and calculated for stability change of amyloid aggregation in free energy change.,urn:mavedb:00000058-a-1@ab40_ddg,High,Assays select on similar specific protein property.,,26,0.46708839800460095,0.43248925741166755
8,urn:mavedb:00000003-a-2,BRCA1,P38398,BRCA1_E3,1,"It is an E3 ubiquitin ligase and also involves in DNA damage repair, with multiple other functions. The previous two functions are related to its binding with BARD1.",BRCA1 is expressed on phage surface. Functioning BRCA1 catalyze ubiquitination on phage surface and captured by beads.,brca1_mono_ub,Functioning BRCA1 will catlyze ubiquitination and scores are measured by mono-ubiquitin amount by western blot.,urn:mavedb:00000003-a-2@brca1_mono_ub,High,Assays select on similar specific protein property.,,11,0.7727272727272727,0.6439393939393939
9,urn:mavedb:00000003-a-2,BRCA1,P38398,BRCA1_E3,1,"It is an E3 ubiquitin ligase and also involves in DNA damage repair, with multiple other functions. The previous two functions are related to its binding with BARD1.",BRCA1 is expressed on phage surface. Functioning BRCA1 catalyze ubiquitination on phage surface and captured by beads.,brca1_myc,BRCA1 is immunoprecipitated and quantified by western blot according to the tag.,urn:mavedb:00000003-a-2@brca1_myc,Medium,Assays select on different yet specific protein properties.,,11,0.5818181818181819,0.4848484848484849
